Dc(%) Dc(distance) dPTime matrixTime localdensityTime relativedistanceTime ccidentificationTime clusterassignTime
0.1 0.0099351 0.00095182 0.121876 0.0115512 0.0228495 0.000829011 5.6618e-05
0.2 0.0140603 0.00095182 0.121876 0.0114045 0.023337 0.000819643 5.6158e-05
0.3 0.0173614 0.00095182 0.121876 0.0114734 0.0240541 0.000851697 5.5041e-05
0.4 0.020318 0.00095182 0.121876 0.0114546 0.0239819 0.000842851 5.4856e-05
0.5 0.0229541 0.00095182 0.121876 0.0115428 0.0241109 0.00082895 5.4843e-05
0.6 0.0254335 0.00095182 0.121876 0.0115602 0.0243901 0.000823391 5.5224e-05
0.7 0.0275982 0.00095182 0.121876 0.0115533 0.0243356 0.000827553 5.5021e-05
0.8 0.0297156 0.00095182 0.121876 0.0116 0.0242338 0.00088364 5.4445e-05
0.9 0.0317345 0.00095182 0.121876 0.0116243 0.024458 0.000857799 5.5303e-05
1 0.0337127 0.00095182 0.121876 0.0115958 0.0243774 0.000849382 5.4815e-05
1.1 0.03554 0.00095182 0.121876 0.0116292 0.0245938 0.000831051 5.4522e-05
1.2 0.03753 0.00095182 0.121876 0.0116829 0.024425 0.000823697 5.4086e-05
1.3 0.0393309 0.00095182 0.121876 0.0116971 0.0299292 0.000860515 5.529e-05
1.4 0.0411224 0.00095182 0.121876 0.0117693 0.0246889 0.000894391 5.4757e-05
1.5 0.0428817 0.00095182 0.121876 0.0117051 0.0249702 0.000850943 5.471e-05
1.6 0.0446637 0.00095182 0.121876 0.0117375 0.0248415 0.000836769 5.4816e-05
1.7 0.046319 0.00095182 0.121876 0.0117606 0.024689 0.00085391 5.4726e-05
1.8 0.0479484 0.00095182 0.121876 0.0117752 0.0248633 0.000871726 5.4801e-05
1.9 0.0496151 0.00095182 0.121876 0.0118101 0.0246826 0.000822466 5.4012e-05
2 0.051313 0.00095182 0.121876 0.0118131 0.0248126 0.000875385 5.4604e-05
2.1 0.0529452 0.00095182 0.121876 0.0118661 0.0247844 0.000855807 5.4903e-05
2.2 0.0546379 0.00095182 0.121876 0.0118901 0.0248607 0.00087236 5.5371e-05
2.3 0.0562491 0.00095182 0.121876 0.0118772 0.0252461 0.000828078 5.4726e-05
2.4 0.0579007 0.00095182 0.121876 0.0119497 0.0249932 0.000853574 5.4389e-05
2.5 0.0595487 0.00095182 0.121876 0.0119629 0.0251353 0.000875859 5.4534e-05
2.6 0.0611756 0.00095182 0.121876 0.0119876 0.0253199 0.000830734 5.4309e-05
2.7 0.0627381 0.00095182 0.121876 0.0120225 0.0251916 0.00086815 5.4466e-05
2.8 0.0643155 0.00095182 0.121876 0.0119839 0.0251004 0.000844256 5.4191e-05
2.9 0.0659014 0.00095182 0.121876 0.0120508 0.0252098 0.000838697 5.3888e-05
3 0.0675301 0.00095182 0.121876 0.0120182 0.0253996 0.000875007 5.4338e-05
3.1 0.0691645 0.00095182 0.121876 0.0120473 0.0250545 0.000869169 5.4211e-05
3.2 0.070879 0.00095182 0.121876 0.0121119 0.0252544 0.000865189 5.4643e-05
3.3 0.0724465 0.00095182 0.121876 0.0120975 0.025092 0.000828432 5.4432e-05
3.4 0.0741187 0.00095182 0.121876 0.0121315 0.0253318 0.000873355 5.4992e-05
3.5 0.0758662 0.00095182 0.121876 0.0121259 0.024927 0.00088188 5.4462e-05
3.6 0.0775712 0.00095182 0.121876 0.0121931 0.0261955 0.000823522 5.4746e-05
3.7 0.0793287 0.00095182 0.121876 0.0122213 0.0256407 0.000849268 5.4992e-05
3.8 0.0809424 0.00095182 0.121876 0.0122225 0.0308638 0.000856919 5.4656e-05
3.9 0.082629 0.00095182 0.121876 0.0122391 0.0252781 0.0008672 5.4683e-05
4 0.084415 0.00095182 0.121876 0.0122693 0.0251543 0.00084039 5.5675e-05
4.1 0.0861683 0.00095182 0.121876 0.0123056 0.0251387 0.000839298 5.4502e-05
4.2 0.0878811 0.00095182 0.121876 0.0122704 0.0254019 0.000853289 5.494e-05
4.3 0.0895338 0.00095182 0.121876 0.0123743 0.0252589 0.000893301 5.4573e-05
4.4 0.0912915 0.00095182 0.121876 0.0122959 0.0254808 0.000876445 5.4804e-05
4.5 0.0930119 0.00095182 0.121876 0.0123788 0.0252113 0.000900978 5.4415e-05
4.6 0.0947335 0.00095182 0.121876 0.0123449 0.0252278 0.000884723 5.47e-05
4.7 0.0963701 0.00095182 0.121876 0.0123866 0.0249266 0.000893847 5.4275e-05
4.8 0.098105 0.00095182 0.121876 0.0123875 0.0252487 0.000866541 5.5288e-05
4.9 0.0997798 0.00095182 0.121876 0.0124855 0.0248333 0.000885509 5.5335e-05
5 0.101553 0.00095182 0.121876 0.0124124 0.0255029 0.000868261 5.4919e-05
5.1 0.103305 0.00095182 0.121876 0.0124472 0.0254169 0.00086074 5.455e-05
5.2 0.105107 0.00095182 0.121876 0.0124814 0.02478 0.00090432 5.8359e-05
5.3 0.106898 0.00095182 0.121876 0.0124793 0.0248105 0.000883103 5.5281e-05
5.4 0.108747 0.00095182 0.121876 0.0124965 0.0248194 0.000874387 5.4555e-05
5.5 0.110602 0.00095182 0.121876 0.0125189 0.0248196 0.000870464 5.5283e-05
5.6 0.112464 0.00095182 0.121876 0.0125622 0.0249025 0.000842781 5.5e-05
5.7 0.114288 0.00095182 0.121876 0.0125819 0.0252271 0.000857919 5.434e-05
5.8 0.115983 0.00095182 0.121876 0.0126075 0.0247871 0.000866083 5.4822e-05
5.9 0.117738 0.00095182 0.121876 0.0126511 0.0250147 0.000847936 5.4595e-05
6 0.119476 0.00095182 0.121876 0.0126633 0.0249852 0.000856417 5.5185e-05
