treeId smallest_leaf largest_leaf
0 0.000666667 0.152
1 0.000666667 0.127333
2 0.000666667 0.158
3 0.000666667 0.120667
4 0.000666667 0.0813333
5 0.000666667 0.121333
6 0.000666667 0.162667
7 0.000666667 0.118
8 0.000666667 0.112
9 0.000666667 0.169333
10 0.00133333 0.392667
11 0.000666667 0.102
12 0.00133333 0.264
13 0.000666667 0.185333
14 0.000666667 0.129333
15 0.000666667 0.167333
16 0.000666667 0.21
17 0.000666667 0.147333
18 0.000666667 0.424667
19 0.000666667 0.0753333
20 0.000666667 0.144
21 0.000666667 0.127333
22 0.000666667 0.364
23 0.000666667 0.106667
24 0.000666667 0.176667
25 0.000666667 0.104667
26 0.000666667 0.0686667
27 0.000666667 0.126
28 0.000666667 0.228
29 0.000666667 0.0706667
30 0.000666667 0.108667
31 0.000666667 0.0886667
32 0.000666667 0.232
33 0.000666667 0.160667
34 0.000666667 0.238667
35 0.000666667 0.117333
36 0.000666667 0.152
37 0.000666667 0.143333
38 0.000666667 0.106667
39 0.000666667 0.228
40 0.000666667 0.22
41 0.000666667 0.118667
42 0.000666667 0.124667
43 0.00133333 0.313333
44 0.000666667 0.212
45 0.000666667 0.124
46 0.000666667 0.104
47 0.000666667 0.137333
48 0.000666667 0.166667
49 0.000666667 0.123333
50 0.000666667 0.127333
51 0.000666667 0.114
52 0.000666667 0.0826667
53 0.000666667 0.164667
54 0.000666667 0.138667
55 0.000666667 0.197333
56 0.000666667 0.153333
57 0.000666667 0.190667
58 0.000666667 0.159333
59 0.000666667 0.192667
60 0.000666667 0.168667
61 0.000666667 0.131333
62 0.000666667 0.124
63 0.000666667 0.212
64 0.000666667 0.232667
65 0.000666667 0.187333
66 0.000666667 0.168667
67 0.000666667 0.168667
68 0.00133333 0.156667
69 0.000666667 0.13
70 0.000666667 0.185333
71 0.000666667 0.107333
72 0.000666667 0.0846667
73 0.000666667 0.180667
74 0.000666667 0.14
75 0.000666667 0.228
76 0.000666667 0.148
77 0.000666667 0.292
78 0.000666667 0.223333
79 0.000666667 0.160667
80 0.000666667 0.144
81 0.000666667 0.096
82 0.000666667 0.108667
83 0.000666667 0.120667
84 0.000666667 0.214667
85 0.000666667 0.5
86 0.000666667 0.278
87 0.000666667 0.23
88 0.000666667 0.134
89 0.000666667 0.136667
90 0.000666667 0.107333
91 0.000666667 0.296
92 0.000666667 0.118667
93 0.000666667 0.112667
94 0.000666667 0.218667
95 0.000666667 0.323333
96 0.000666667 0.084
97 0.000666667 0.109333
98 0.000666667 0.178667
99 0.000666667 0.282667
