pointid actual predicted
0 1 1090
1 1 937
2 2 1090
3 1 1090
4 2 1090
5 2 1090
6 1 1090
7 1 1090
8 1 1090
9 2 1090
10 2 1090
11 2 1090
12 2 1090
13 1 1090
14 1 937
15 1 937
16 2 1090
17 2 937
18 1 1090
19 2 1090
20 1 1090
21 1 1090
22 1 1090
23 1 1090
24 2 1090
25 2 1090
26 2 1090
27 1 1090
28 2 1090
29 2 1090
30 2 1090
31 1 937
32 2 1090
33 2 1090
34 2 937
35 2 1090
36 1 1090
37 1 1090
38 1 1090
39 1 1090
40 2 1090
41 2 1090
42 2 1090
43 1 1090
44 1 1090
45 1 1090
46 2 937
47 1 937
48 2 1090
49 2 1090
50 2 1090
51 2 1090
52 1 1090
53 2 1090
54 1 1090
55 2 1090
56 1 937
57 1 1090
58 2 1090
59 2 1090
60 1 1090
61 1 1090
62 2 937
63 1 1090
64 2 1090
65 2 1090
66 1 1090
67 2 1090
68 1 1090
69 2 1090
70 1 1090
71 1 1090
72 2 937
73 2 937
74 1 1090
75 1 1090
76 2 1090
77 1 1090
78 1 1090
79 2 1090
80 2 937
81 1 937
82 1 1090
83 1 1090
84 2 1090
85 1 1090
86 2 1090
87 1 1090
88 1 1090
89 1 1090
90 1 1090
91 1 1090
92 1 1090
93 1 1090
94 2 1090
95 2 1090
96 1 1090
97 1 1090
98 1 937
99 2 1090
100 2 937
101 2 1090
102 1 1090
103 2 1090
104 2 937
105 2 1090
106 1 1090
107 1 1090
108 1 1090
109 2 937
110 1 1090
111 1 1090
112 1 1090
113 1 1090
114 2 1090
115 2 1090
116 1 1090
117 2 1090
118 2 1090
119 1 1090
120 1 937
121 1 937
122 1 1090
123 1 1090
124 1 1090
125 2 1090
126 1 937
127 1 1090
128 2 1090
129 2 1090
130 2 1090
131 2 1090
132 1 1090
133 2 1090
134 1 937
135 1 1090
136 1 1090
137 1 1090
138 2 937
139 1 1090
140 1 1090
141 1 937
142 2 1090
143 2 1090
144 1 1090
145 1 1090
146 1 1090
147 1 1090
148 2 937
149 1 937
150 1 1090
151 2 1090
152 1 1090
153 2 1090
154 2 1090
155 2 1090
156 2 937
157 1 1090
158 2 1090
159 1 937
160 2 1090
161 1 1090
162 1 1090
163 2 1090
164 2 1090
165 2 1090
166 2 937
167 2 1090
168 1 1090
169 1 937
170 1 1090
171 2 1090
172 2 937
173 1 1090
174 2 1090
175 1 1090
176 1 1090
177 1 1090
178 2 1090
179 1 1090
180 1 937
181 1 1090
182 1 1090
183 1 1090
184 1 1090
185 1 1090
186 1 1090
187 1 1090
188 1 1090
189 1 937
190 1 1090
191 2 937
192 2 937
193 1 1090
194 2 1090
195 1 1090
196 2 1090
197 1 1090
198 1 1090
199 1 1090
200 1 1090
201 1 937
202 2 1090
203 1 1090
204 2 1090
205 1 1090
206 1 1090
207 1 1090
208 1 1090
209 2 1090
210 2 1090
211 1 1090
212 1 937
213 2 1090
214 2 1090
215 1 1090
216 2 1090
217 2 1090
218 1 1090
219 2 1090
220 2 1090
221 1 1090
222 1 1090
223 1 1090
224 1 1090
225 1 1090
226 2 1090
227 2 937
228 1 937
229 1 1090
230 1 937
231 2 1090
232 2 937
233 1 937
234 1 1090
235 2 1090
236 2 1090
237 2 1090
238 1 1090
239 2 1090
240 2 1090
241 1 1090
242 2 1090
243 2 1090
244 1 1090
245 2 1090
246 2 1090
247 1 1090
248 2 937
249 1 1090
250 2 1090
251 1 1090
252 1 1090
253 2 1090
254 2 1090
255 2 1090
256 1 1090
257 2 1090
258 1 1090
259 2 937
260 1 1090
261 1 937
262 2 1090
263 1 937
264 2 1090
265 1 1090
266 2 1090
267 2 1090
268 1 1090
269 2 937
270 2 937
271 2 1090
272 2 1090
273 2 1090
274 2 1090
275 1 1090
276 2 1090
277 1 1090
278 1 1090
279 2 937
280 2 1090
281 2 1090
282 2 1090
283 2 1090
284 2 937
285 1 1090
286 2 1090
287 1 1090
288 2 937
289 1 937
290 2 1090
291 1 1090
292 1 937
293 1 1090
294 2 1090
295 1 1090
296 2 1090
297 2 1090
298 2 1090
299 1 1090
300 1 937
301 1 1090
302 1 1090
303 1 1090
304 1 1090
305 1 1090
306 1 1090
307 2 937
308 2 1090
309 1 1090
310 2 1090
311 1 1090
312 2 1090
313 1 1090
314 1 937
315 2 1090
316 2 1090
317 2 1090
318 1 1090
319 1 1090
320 1 1090
321 2 1090
322 2 1090
323 2 1090
324 1 1090
325 2 1090
326 1 1090
327 1 1090
328 2 937
329 2 937
330 1 937
331 2 1090
332 2 1090
333 1 1090
334 1 1090
335 2 1090
336 2 1090
337 1 1090
338 2 1090
339 2 937
340 1 1090
341 1 1090
342 1 1090
343 2 1090
344 2 1090
345 2 937
346 2 937
347 2 1090
348 1 1090
349 2 1090
350 2 937
351 2 1090
352 1 1090
353 1 1090
354 2 1090
355 2 1090
356 2 1090
357 2 1090
358 1 1090
359 2 1090
360 1 1090
361 1 1090
362 2 1090
363 1 1090
364 1 1090
365 2 1090
366 2 937
367 2 1090
368 1 937
369 2 1090
370 1 1090
371 1 1090
372 2 1090
373 1 1090
374 2 1090
375 1 1090
376 1 937
377 1 1090
378 1 1090
379 1 1090
380 1 1090
381 2 1090
382 1 1090
383 1 1090
384 1 1090
385 2 1090
386 1 1090
387 1 1090
388 2 937
389 1 937
390 2 1090
391 2 1090
392 2 1090
393 2 1090
394 2 1090
395 2 1090
396 1 1090
397 2 1090
398 1 1090
399 2 1090
400 2 1090
401 1 937
402 2 1090
403 2 937
404 2 1090
405 2 937
406 1 1090
407 2 1090
408 2 1090
409 2 1090
410 1 937
411 1 1090
412 2 1090
413 2 1090
414 1 1090
415 2 1090
416 2 937
417 2 1090
418 2 1090
419 2 937
420 2 1090
421 1 1090
422 1 1090
423 2 1090
424 2 1090
425 2 1090
426 1 937
427 1 1090
428 1 1090
429 1 1090
430 2 1090
431 1 937
432 2 1090
433 1 1090
434 1 937
435 2 1090
436 1 1090
437 2 1090
438 2 1090
439 1 1090
440 2 1090
441 1 937
442 2 1090
443 2 937
444 2 1090
445 2 1090
446 2 1090
447 2 1090
448 2 937
449 2 1090
450 1 1090
451 2 1090
452 1 1090
453 1 1090
454 1 1090
455 2 1090
456 2 1090
457 2 937
458 1 937
459 1 1090
460 1 1090
461 2 1090
462 2 1090
463 2 1090
464 2 1090
465 2 1090
466 1 937
467 2 1090
468 2 1090
469 1 1090
470 2 1090
471 2 1090
472 2 1090
473 1 1090
474 1 1090
475 1 1090
476 2 1090
477 2 1090
478 1 1090
479 2 1090
480 1 1090
481 2 937
482 1 1090
483 1 1090
484 1 937
485 1 1090
486 2 1090
487 1 1090
488 1 1090
489 1 1090
490 2 1090
491 1 1090
492 2 1090
493 2 1090
494 1 1090
495 1 1090
496 2 1090
497 2 937
498 1 937
499 1 1090
500 1 937
501 2 1090
502 1 1090
503 1 1090
504 1 1090
505 2 1090
506 2 1090
507 1 1090
508 1 1090
509 2 1090
510 1 1090
511 2 937
512 2 1090
513 1 1090
514 1 1090
515 1 1090
516 2 1090
517 1 1090
518 2 1090
519 1 1090
520 2 1090
521 1 937
522 2 1090
523 2 1090
524 1 937
525 1 1090
526 1 1090
527 1 1090
528 1 1090
529 2 1090
530 2 1090
531 1 1090
532 2 937
533 1 937
534 1 1090
535 2 1090
536 1 1090
537 1 1090
538 2 1090
539 1 1090
540 2 1090
541 1 937
542 1 937
543 2 1090
544 2 1090
545 1 1090
546 1 1090
547 2 1090
548 2 1090
549 2 1090
550 1 1090
551 1 1090
552 2 1090
553 2 1090
554 1 1090
555 1 1090
556 2 1090
557 2 1090
558 1 1090
559 1 1090
560 2 1090
561 1 1090
562 1 1090
563 1 937
564 1 1090
565 2 1090
566 1 1090
567 2 1090
568 1 1090
569 1 1090
570 1 1090
571 1 1090
572 2 1090
573 2 937
574 2 1090
575 1 1090
576 2 937
577 1 1090
578 1 937
579 2 1090
580 2 1090
581 2 1090
582 1 1090
583 2 1090
584 2 1090
585 2 1090
586 1 1090
587 1 1090
588 1 1090
589 2 1090
590 2 1090
591 1 1090
592 1 1090
593 2 1090
594 2 1090
595 1 1090
596 2 1090
597 1 1090
598 1 1090
599 1 1090
600 2 1090
601 1 1090
602 1 1090
603 1 1090
604 1 1090
605 2 1090
606 1 1090
607 1 1090
608 2 1090
609 2 1090
610 1 1090
611 2 1090
612 2 1090
613 2 1090
614 2 1090
615 2 1090
616 1 1090
617 1 1090
618 2 1090
619 1 1090
620 2 1090
621 2 1090
622 1 1090
623 2 1090
624 1 1090
625 1 1090
626 1 1090
627 2 1090
628 1 1090
629 2 1090
630 2 1090
631 2 937
632 2 937
633 1 1090
634 1 1090
635 1 1090
636 2 1090
637 2 1090
638 1 937
639 2 1090
640 1 1090
641 1 1090
642 2 1090
643 2 937
644 2 1090
645 2 1090
646 1 1090
647 2 1090
648 1 937
649 1 1090
650 1 1090
651 2 1090
652 2 1090
653 1 1090
654 2 1090
655 2 937
656 2 937
657 2 1090
658 2 1090
659 1 1090
660 1 1090
661 2 1090
662 2 1090
663 2 1090
664 2 1090
665 1 1090
666 2 937
667 1 1090
668 2 1090
669 1 1090
670 1 1090
671 2 1090
672 2 1090
673 2 1090
674 2 1090
675 1 1090
676 1 1090
677 1 1090
678 1 1090
679 2 937
680 1 1090
681 2 1090
682 2 1090
683 2 1090
684 2 1090
685 2 1090
686 1 1090
687 1 1090
688 1 937
689 2 1090
690 2 1090
691 2 1090
692 2 937
693 2 1090
694 2 937
695 1 1090
696 2 1090
697 2 1090
698 1 1090
699 1 937
700 1 1090
701 2 1090
702 2 1090
703 1 1090
704 2 1090
705 2 1090
706 2 1090
707 1 937
708 2 1090
709 1 1090
710 1 937
711 1 1090
712 1 1090
713 1 1090
714 1 1090
715 2 1090
716 1 1090
717 2 937
718 1 1090
719 2 1090
720 2 1090
721 1 1090
722 1 1090
723 2 1090
724 2 1090
725 2 1090
726 2 1090
727 2 1090
728 1 1090
729 1 1090
730 2 937
731 2 1090
732 1 1090
733 1 1090
734 2 1090
735 2 1090
736 2 1090
737 1 1090
738 2 1090
739 2 937
740 1 937
741 1 1090
742 2 1090
743 1 937
744 2 937
745 2 1090
746 1 1090
747 2 937
748 2 1090
749 2 1090
750 2 1090
751 1 1090
752 1 1090
753 1 1090
754 1 1090
755 1 1090
756 1 1090
757 1 1090
758 2 1090
759 1 1090
760 1 1090
761 2 1090
762 2 1090
763 1 1090
764 2 1090
765 2 1090
766 1 1090
767 2 1090
768 1 1090
769 2 1090
770 2 1090
771 2 1090
772 1 1090
773 1 1090
774 2 1090
775 2 1090
776 1 1090
777 2 1090
778 1 1090
779 1 1090
780 1 1090
781 2 1090
782 2 1090
783 2 1090
784 1 1090
785 1 1090
786 2 1090
787 2 937
788 2 937
789 2 1090
790 1 1090
791 2 1090
792 2 1090
793 1 937
794 2 937
795 1 1090
796 1 1090
797 1 1090
798 2 937
799 1 1090
800 2 1090
801 1 937
802 1 1090
803 2 1090
804 1 1090
805 2 937
806 1 937
807 1 1090
808 2 1090
809 1 937
810 2 1090
811 2 1090
812 1 937
813 1 937
814 1 1090
815 1 1090
816 1 1090
817 1 1090
818 1 1090
819 2 1090
820 2 1090
821 2 1090
822 2 1090
823 1 1090
824 2 1090
825 1 1090
826 1 937
827 1 1090
828 2 1090
829 1 1090
830 2 1090
831 2 1090
832 2 937
833 2 1090
834 2 1090
835 2 1090
836 1 1090
837 2 1090
838 2 937
839 1 1090
840 1 937
841 1 1090
842 1 1090
843 2 1090
844 1 1090
845 1 937
846 1 1090
847 1 937
848 1 1090
849 1 1090
850 1 1090
851 1 1090
852 2 937
853 1 1090
854 1 1090
855 2 937
856 1 937
857 2 1090
858 1 1090
859 1 1090
860 1 1090
861 2 1090
862 2 1090
863 1 1090
864 2 1090
865 2 1090
866 1 937
867 2 937
868 2 1090
869 1 1090
870 1 1090
871 1 1090
872 2 1090
873 1 1090
874 1 1090
875 1 1090
876 1 1090
877 1 1090
878 2 1090
879 2 1090
880 1 1090
881 1 1090
882 1 1090
883 2 937
884 2 1090
885 1 1090
886 1 1090
887 1 1090
888 1 1090
889 1 1090
890 2 1090
891 2 1090
892 2 1090
893 2 1090
894 2 1090
895 2 937
896 1 1090
897 1 1090
898 1 937
899 1 1090
900 2 1090
901 2 1090
902 2 1090
903 1 937
904 1 1090
905 2 1090
906 2 937
907 2 1090
908 1 1090
909 2 1090
910 2 1090
911 1 937
912 1 1090
913 1 1090
914 1 937
915 2 1090
916 1 1090
917 1 1090
918 1 1090
919 1 1090
920 2 937
921 1 1090
922 2 1090
923 2 1090
924 2 1090
925 2 1090
926 1 1090
927 1 1090
928 1 1090
929 2 1090
930 1 937
931 1 1090
932 1 1090
933 1 1090
934 1 937
935 1 1090
936 2 1090
937 1 937
938 2 1090
939 2 1090
940 2 1090
941 2 1090
942 2 1090
943 2 937
944 2 937
945 1 1090
946 1 1090
947 1 1090
948 2 1090
949 2 1090
950 1 1090
951 1 1090
