Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.1 0.000796496 0.0952426 3.66e-07 1.35433 0.0765385 1.42e-07 1.75e-07 0.000951693
0.101 0.000796496 0.0952426 3.38e-07 1.3339 0.0665535 1.29e-07 1.33e-07 0.000965203
0.102 0.000796496 0.0952426 3.02e-07 1.34443 0.073732 1.48e-07 1.29e-07 0.000957471
0.103 0.000796496 0.0952426 3.27e-07 1.34591 0.0809907 1.47e-07 1.29e-07 0.000959709
0.104 0.000796496 0.0952426 2.51e-07 1.36363 0.0777355 1.45e-07 1.27e-07 0.000956945
0.105 0.000796496 0.0952426 3.53e-07 1.37077 0.0679236 1.32e-07 1.5e-07 0.000956253
0.106 0.000796496 0.0952426 3.23e-07 1.38094 0.0720331 1.39e-07 1.31e-07 0.000959558
0.107 0.000796496 0.0952426 2.89e-07 1.38547 0.0758426 1.55e-07 1.28e-07 0.000961028
0.108 0.000796496 0.0952426 2.5e-07 1.40159 0.0656778 1.49e-07 1.29e-07 0.000963196
0.109 0.000796496 0.0952426 3.59e-07 1.40556 0.069325 1.33e-07 1.9e-07 0.000965393
0.11 0.000796496 0.0952426 3.27e-07 1.42117 0.0700039 1.3e-07 1.27e-07 0.000963944
0.111 0.000796496 0.0952426 3.52e-07 1.4254 0.0736697 1.4e-07 1.28e-07 0.00096652
0.112 0.000796496 0.0952426 2.8e-07 1.43761 0.0741725 1.31e-07 1.49e-07 0.000967732
0.113 0.000796496 0.0952426 3.06e-07 1.44957 0.0673702 1.31e-07 1.3e-07 0.000966676
0.114 0.000796496 0.0952426 2.76e-07 1.4599 0.0787525 1.49e-07 1.28e-07 0.000967276
0.115 0.000796496 0.0952426 3.45e-07 1.47055 0.0788885 1.44e-07 1.32e-07 0.000966971
0.116 0.000796496 0.0952426 2.71e-07 1.47642 0.0793655 1.45e-07 1.28e-07 0.000974813
0.117 0.000796496 0.0952426 2.74e-07 1.4826 0.0795653 1.39e-07 1.78e-07 0.000970329
0.118 0.000796496 0.0952426 2.87e-07 1.49348 0.0691883 1.38e-07 1.83e-07 0.000968745
0.119 0.000796496 0.0952426 3.1e-07 1.50032 0.0695315 1.37e-07 1.29e-07 0.000970047
0.12 0.000796496 0.0952426 2.57e-07 1.51894 0.0704949 1.48e-07 1.3e-07 0.000971471
0.121 0.000796496 0.0952426 3.13e-07 1.52633 0.0707099 1.38e-07 1.27e-07 0.000973903
0.122 0.000796496 0.0952426 2.86e-07 1.54241 0.0710691 1.36e-07 1.25e-07 0.000974927
0.123 0.000796496 0.0952426 3.06e-07 1.55176 0.0787862 1.38e-07 1.26e-07 0.000974
0.124 0.000796496 0.0952426 2.61e-07 1.57745 0.0726888 1.92e-07 1.3e-07 0.000973511
0.125 0.000796496 0.0952426 3.21e-07 1.58133 0.0870231 1.42e-07 1.3e-07 0.000982012
0.126 0.000796496 0.0952426 3.47e-07 1.58797 0.0728364 1.35e-07 1.29e-07 0.000972667
0.127 0.000796496 0.0952426 6.5e-07 1.59038 0.0769818 1.45e-07 1.42e-07 0.000976436
0.128 0.000796496 0.0952426 3.64e-07 1.59551 0.0768657 1.33e-07 1.36e-07 0.00098089
0.129 0.000796496 0.0952426 2.79e-07 1.59844 0.0843358 1.32e-07 1.86e-07 0.000979556
0.13 0.000796496 0.0952426 2.71e-07 1.61486 0.0811931 1.32e-07 1.31e-07 0.000979183
0.131 0.000796496 0.0952426 3.06e-07 1.61967 0.0886888 1.53e-07 1.37e-07 0.000975799
0.132 0.000796496 0.0952426 2.67e-07 1.62976 0.0857014 1.34e-07 1.39e-07 0.00097804
0.133 0.000796496 0.0952426 2.69e-07 1.63396 0.0712928 1.31e-07 1.28e-07 0.00097556
0.134 0.000796496 0.0952426 2.91e-07 1.64403 0.0752869 1.34e-07 1.26e-07 0.000979963
0.135 0.000796496 0.0952426 2.76e-07 1.65249 0.0754522 1.3e-07 1.29e-07 0.00097623
0.136 0.000796496 0.0952426 3.06e-07 1.66068 0.079433 1.32e-07 1.3e-07 0.000976849
0.137 0.000796496 0.0952426 3.6e-07 1.66434 0.0758847 1.3e-07 1.45e-07 0.000978087
0.138 0.000796496 0.0952426 3.63e-07 1.67421 0.0764211 1.39e-07 1.26e-07 0.000980086
0.139 0.000796496 0.0952426 2.88e-07 1.68128 0.0767664 1.51e-07 1.82e-07 0.000978388
0.14 0.000796496 0.0952426 3.16e-07 1.69233 0.0838953 1.36e-07 1.3e-07 0.000979802
0.141 0.000796496 0.0952426 3.34e-07 1.69805 0.0771537 1.48e-07 1.47e-07 0.000978189
0.142 0.000796496 0.0952426 3.11e-07 1.71616 0.084996 1.41e-07 1.32e-07 0.000979815
0.143 0.000796496 0.0952426 3.55e-07 1.70983 0.0781426 1.41e-07 1.3e-07 0.000977187
0.144 0.000796496 0.0952426 2.75e-07 1.73235 0.0786805 1.39e-07 1.83e-07 0.000979502
0.145 0.000796496 0.0952426 2.51e-07 1.74015 0.0753909 1.39e-07 1.82e-07 0.000979484
0.146 0.000796496 0.0952426 3.55e-07 1.75204 0.0830803 1.28e-07 1.29e-07 0.000979391
0.147 0.000796496 0.0952426 3.15e-07 1.75626 0.0832182 1.47e-07 1.42e-07 0.000980257
0.148 0.000796496 0.0952426 3.3e-07 1.77389 0.0875301 1.39e-07 1.32e-07 0.000977958
0.149 0.000796496 0.0952426 3.71e-07 1.78026 0.0878863 1.3e-07 1.28e-07 0.000978697
0.15 0.000796496 0.0952426 3.09e-07 1.7861 0.0954656 1.41e-07 1.28e-07 0.000983095
0.151 0.000796496 0.0952426 3.31e-07 1.78786 0.0955419 1.45e-07 1.31e-07 0.000980319
0.152 0.000796496 0.0952426 3.44e-07 1.79603 0.0993078 1.43e-07 1.29e-07 0.00097739
0.153 0.000796496 0.0952426 2.67e-07 1.80109 0.0922655 1.45e-07 1.37e-07 0.000978412
0.154 0.000796496 0.0952426 2.65e-07 1.80958 0.0999287 1.4e-07 1.3e-07 0.000979381
0.155 0.000796496 0.0952426 4.29e-07 1.81301 0.0963691 1.52e-07 1.27e-07 0.00098162
0.156 0.000796496 0.0952426 3.19e-07 1.8193 0.0821212 1.52e-07 1.32e-07 0.000979742
0.157 0.000796496 0.0952426 3.66e-07 1.83319 0.0825781 1.39e-07 1.48e-07 0.000979516
0.158 0.000796496 0.0952426 3.8e-07 1.84373 0.0793498 1.38e-07 1.81e-07 0.00098037
0.159 0.000796496 0.0952426 3.03e-07 1.84835 0.0903907 1.37e-07 1.3e-07 0.000979975
0.16 0.000796496 0.0952426 2.6e-07 1.86547 0.0945055 1.41e-07 1.3e-07 0.000984133
0.161 0.000796496 0.0952426 3.8e-07 1.88267 0.0988062 1.57e-07 1.3e-07 0.000982371
0.162 0.000796496 0.0952426 3.47e-07 1.89036 0.102735 1.37e-07 1.29e-07 0.000980285
0.163 0.000796496 0.0952426 3.36e-07 1.90583 0.0890113 1.3e-07 1.3e-07 0.000981303
0.164 0.000796496 0.0952426 2.95e-07 1.91782 0.0858423 1.31e-07 1.29e-07 0.000979406
0.165 0.000796496 0.0952426 3.22e-07 1.93202 0.0864539 2.01e-07 1.39e-07 0.000979035
0.166 0.000796496 0.0952426 3.39e-07 1.94079 0.0902851 1.47e-07 1.82e-07 0.000979646
0.167 0.000796496 0.0952426 3.48e-07 1.94197 0.0937532 1.41e-07 1.5e-07 0.000980071
0.168 0.000796496 0.0952426 3.58e-07 1.95133 0.0835055 1.35e-07 1.3e-07 0.000980682
0.169 0.000796496 0.0952426 3.98e-07 1.96387 0.0837636 1.32e-07 1.3e-07 0.000981636
0.17 0.000796496 0.0952426 3.78e-07 1.97039 0.0875384 1.42e-07 1.31e-07 0.000978808
0.171 0.000796496 0.0952426 2.91e-07 1.97202 0.0910876 1.41e-07 1.28e-07 0.000982204
0.172 0.000796496 0.0952426 4e-07 1.9729 0.0806024 1.4e-07 1.27e-07 0.000979567
0.173 0.000796496 0.0952426 3.44e-07 1.97583 0.0945407 1.39e-07 1.77e-07 0.000983155
0.174 0.000796496 0.0952426 3.97e-07 1.97376 0.0945992 1.53e-07 1.29e-07 0.000983973
0.175 0.000796496 0.0952426 3.52e-07 1.97636 0.0876357 1.38e-07 1.27e-07 0.000978942
0.176 0.000796496 0.0952426 3.42e-07 1.98788 0.0986477 1.39e-07 1.46e-07 0.00097868
0.177 0.000796496 0.0952426 6.24e-07 1.99169 0.0987802 1.38e-07 1.4e-07 0.000977541
0.178 0.000796496 0.0952426 2.33e-07 2.0078 0.0921856 1.36e-07 1.35e-07 0.000986085
0.179 0.000796496 0.0952426 2.83e-07 2.011 0.10287 2.05e-07 1.43e-07 0.000978707
0.18 0.000796496 0.0952426 3.14e-07 2.01857 0.0925856 1.29e-07 1.36e-07 0.000978769
0.181 0.000796496 0.0952426 3.82e-07 2.02926 0.0975111 1.31e-07 1.83e-07 0.000979851
0.182 0.000796496 0.0952426 4.5e-07 2.04597 0.104661 1.39e-07 1.4e-07 0.000978096
0.183 0.000796496 0.0952426 2.69e-07 2.04164 0.0974338 1.95e-07 1.32e-07 0.00102376
0.184 0.000796496 0.0952426 3.42e-07 2.05244 0.0976521 1.36e-07 1.83e-07 0.000985611
0.185 0.000796496 0.0952426 4.44e-07 2.05412 0.101632 1.43e-07 1.28e-07 0.000988031
0.186 0.000796496 0.0952426 3.66e-07 2.07218 0.0877351 1.51e-07 1.3e-07 0.000978472
0.187 0.000796496 0.0952426 3.51e-07 2.07065 0.0914661 1.41e-07 1.29e-07 0.000978234
0.188 0.000796496 0.0952426 2.69e-07 2.08908 0.0923461 1.39e-07 1.91e-07 0.000977848
0.189 0.000796496 0.0952426 2.81e-07 2.09576 0.088729 1.33e-07 1.28e-07 0.000985005
0.19 0.000796496 0.0952426 2.59e-07 2.10889 0.0893576 1.42e-07 1.5e-07 0.000976898
0.191 0.000796496 0.0952426 3.38e-07 2.12078 0.0896561 1.38e-07 1.29e-07 0.000977328
0.192 0.000796496 0.0952426 2.9e-07 2.13671 0.0861899 1.91e-07 1.34e-07 0.000979574
0.193 0.000796496 0.0952426 2.86e-07 2.13802 0.10044 1.41e-07 1.81e-07 0.000978928
0.194 0.000796496 0.0952426 3.48e-07 2.14069 0.0900515 1.3e-07 1.84e-07 0.000984153
0.195 0.000796496 0.0952426 1.484e-06 2.1591 0.0868079 1.32e-07 1.36e-07 0.000980373
0.196 0.000796496 0.0952426 3.05e-07 2.15142 0.0871371 1.39e-07 1.49e-07 0.00098088
