Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.1 0.000606862 0.0879526 3.29e-07 0.585435 0.0371011 1.56e-07 1.27e-07 0.000704504
0.101 0.000606862 0.0879526 2.69e-07 0.590427 0.0350019 1.37e-07 1.83e-07 0.000703438
0.102 0.000606862 0.0879526 2.71e-07 0.596757 0.0402938 1.33e-07 1.5e-07 0.000720007
0.103 0.000606862 0.0879526 3.36e-07 0.601839 0.0305853 1.46e-07 1.38e-07 0.000704064
0.104 0.000606862 0.0879526 3.38e-07 0.599866 0.0376504 1.35e-07 1.49e-07 0.000713272
0.105 0.000606862 0.0879526 2.54e-07 0.602327 0.0378373 1.48e-07 1.77e-07 0.000716458
0.106 0.000606862 0.0879526 3.61e-07 0.607044 0.0355839 1.32e-07 1.46e-07 0.000705316
0.107 0.000606862 0.0879526 2.38e-07 0.613212 0.0382037 1.86e-07 1.33e-07 0.000706182
0.108 0.000606862 0.0879526 2.77e-07 0.616955 0.0335384 1.33e-07 1.23e-07 0.000707557
0.109 0.000606862 0.0879526 2.99e-07 0.620714 0.0337681 1.47e-07 1.28e-07 0.000706287
0.11 0.000606862 0.0879526 3.73e-07 0.627587 0.0340545 1.36e-07 1.45e-07 0.000707862
0.111 0.000606862 0.0879526 3.27e-07 0.631042 0.033971 1.33e-07 1.29e-07 0.000705826
0.112 0.000606862 0.0879526 2.77e-07 0.63264 0.0293684 1.47e-07 1.42e-07 0.000706198
0.113 0.000606862 0.0879526 2.57e-07 0.636311 0.0296995 1.31e-07 1.24e-07 0.000706064
0.114 0.000606862 0.0879526 3.35e-07 0.642599 0.0320431 1.42e-07 1.29e-07 0.000708635
0.115 0.000606862 0.0879526 2.54e-07 0.646012 0.0321743 1.31e-07 1.23e-07 0.000708188
0.116 0.000606862 0.0879526 3.79e-07 0.648305 0.0374627 1.28e-07 1.84e-07 0.000706915
0.117 0.000606862 0.0879526 3.47e-07 0.652941 0.0374928 1.36e-07 1.45e-07 0.000715356
0.118 0.000606862 0.0879526 3.02e-07 0.657224 0.0326677 1.45e-07 1.31e-07 0.000710684
0.119 0.000606862 0.0879526 3.65e-07 0.659255 0.0328153 1.34e-07 1.25e-07 0.000707239
0.12 0.000606862 0.0879526 3.33e-07 0.663695 0.030602 1.52e-07 1.2e-07 0.000707453
0.121 0.000606862 0.0879526 3.71e-07 0.666396 0.0378732 1.35e-07 1.46e-07 0.000707535
0.122 0.000606862 0.0879526 2.92e-07 0.668671 0.0307588 1.5e-07 1.37e-07 0.000708212
0.123 0.000606862 0.0879526 3.57e-07 0.672623 0.0405308 1.39e-07 1.23e-07 0.000708095
0.124 0.000606862 0.0879526 3.34e-07 0.679183 0.0481937 1.36e-07 1.27e-07 0.000713671
0.125 0.000606862 0.0879526 3.44e-07 0.684547 0.0555032 1.89e-07 1.32e-07 0.00070824
0.126 0.000606862 0.0879526 3.25e-07 0.684924 0.0436748 1.36e-07 1.24e-07 0.000711797
0.127 0.000606862 0.0879526 3.31e-07 0.686769 0.0361778 1.29e-07 1.27e-07 0.000708
0.128 0.000606862 0.0879526 3.2e-07 0.68724 0.0409521 2.03e-07 1.28e-07 0.000708534
0.129 0.000606862 0.0879526 3.36e-07 0.693556 0.0365716 1.73e-07 1.29e-07 0.000707478
0.13 0.000606862 0.0879526 3.41e-07 0.700099 0.0417701 1.45e-07 1.78e-07 0.000706751
0.131 0.000606862 0.0879526 3.03e-07 0.704353 0.0488182 1.57e-07 1.29e-07 0.000705814
0.132 0.000606862 0.0879526 3.15e-07 0.709133 0.0443522 1.38e-07 1.33e-07 0.000706163
0.133 0.000606862 0.0879526 3.37e-07 0.708781 0.0420544 1.38e-07 1.2e-07 0.000708974
0.134 0.000606862 0.0879526 2.8e-07 0.713412 0.0370792 1.52e-07 1.28e-07 0.000703593
0.135 0.000606862 0.0879526 3.24e-07 0.715048 0.0348136 1.4e-07 1.28e-07 0.000704483
0.136 0.000606862 0.0879526 3.5e-07 0.718357 0.0349426 1.85e-07 1.37e-07 0.000703868
0.137 0.000606862 0.0879526 2.78e-07 0.722206 0.035377 1.34e-07 1.84e-07 0.00070444
0.138 0.000606862 0.0879526 3.3e-07 0.722903 0.0375209 1.38e-07 1.3e-07 0.000702592
0.139 0.000606862 0.0879526 2.83e-07 0.725601 0.0399498 1.82e-07 1.3e-07 0.000705055
