treeId smallest_leaf largest_leaf
0 0.00111111 0.132222
1 0.00111111 0.156667
2 0.00111111 0.222222
3 0.00111111 0.178889
4 0.00111111 0.36
5 0.00111111 0.341111
6 0.00111111 0.132222
7 0.00111111 0.205556
8 0.00111111 0.37
9 0.00111111 0.211111
10 0.00111111 0.228889
11 0.00111111 0.171111
12 0.00111111 0.136667
13 0.00111111 0.351111
14 0.00111111 0.171111
15 0.00111111 0.275556
16 0.00111111 0.144444
17 0.00111111 0.211111
18 0.00111111 0.104444
19 0.00111111 0.0866667
20 0.00111111 0.213333
21 0.00111111 0.362222
22 0.00111111 0.103333
23 0.00111111 0.137778
24 0.00111111 0.142222
25 0.00111111 0.16
26 0.00111111 0.106667
27 0.00111111 0.174444
28 0.00111111 0.415556
29 0.00111111 0.153333
30 0.00111111 0.314444
31 0.00111111 0.172222
32 0.00111111 0.131111
33 0.00111111 0.13
34 0.00111111 0.256667
35 0.00111111 0.172222
36 0.00111111 0.198889
37 0.00111111 0.288889
38 0.00111111 0.146667
39 0.00111111 0.22
40 0.00111111 0.277778
41 0.00111111 0.341111
42 0.00111111 0.397778
43 0.00111111 0.164444
44 0.00111111 0.244444
45 0.00111111 0.201111
46 0.00111111 0.28
47 0.00111111 0.154444
48 0.00111111 0.158889
49 0.00111111 0.0855556
50 0.00111111 0.173333
51 0.00111111 0.0811111
52 0.00111111 0.107778
53 0.00111111 0.138889
54 0.00111111 0.258889
55 0.00111111 0.475556
56 0.00111111 0.163333
57 0.00111111 0.128889
58 0.00111111 0.273333
59 0.00111111 0.127778
60 0.00111111 0.177778
61 0.00111111 0.143333
62 0.00111111 0.122222
63 0.00111111 0.1
64 0.00111111 0.212222
65 0.00111111 0.261111
66 0.00111111 0.17
67 0.00111111 0.194444
68 0.00111111 0.0833333
69 0.00111111 0.446667
70 0.00111111 0.258889
71 0.00111111 0.251111
72 0.00111111 0.191111
73 0.00111111 0.352222
74 0.00111111 0.153333
75 0.00111111 0.19
76 0.00111111 0.262222
77 0.00111111 0.242222
78 0.00111111 0.114444
79 0.00111111 0.128889
80 0.00111111 0.187778
81 0.00111111 0.27
82 0.00111111 0.222222
83 0.00111111 0.255556
84 0.00111111 0.251111
85 0.00111111 0.198889
86 0.00111111 0.195556
87 0.00111111 0.216667
88 0.00111111 0.216667
89 0.00111111 0.133333
90 0.00111111 0.284444
91 0.00111111 0.172222
92 0.00111111 0.141111
93 0.00111111 0.0988889
94 0.00111111 0.252222
95 0.00111111 0.272222
96 0.00111111 0.571111
97 0.00111111 0.326667
98 0.00111111 0.162222
99 0.00111111 0.113333
