Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.1 0.00214238 0.0740391 3.65e-07 0.394425 0.0209511 1.33e-07 1.28e-07 0.000550163
0.101 0.00214238 0.0740391 3.33e-07 0.392642 0.0252595 1.4e-07 1.47e-07 0.000554718
0.102 0.00214238 0.0740391 3.84e-07 0.398288 0.016926 1.45e-07 1.47e-07 0.000548895
0.103 0.00214238 0.0740391 3.58e-07 0.402944 0.0193663 1.43e-07 1.26e-07 0.000551648
0.104 0.00214238 0.0740391 3.2e-07 0.405555 0.0216369 1.31e-07 1.3e-07 0.000549333
0.105 0.00214238 0.0740391 4.06e-07 0.409648 0.0173893 1.39e-07 1.27e-07 0.000601332
0.106 0.00214238 0.0740391 2.91e-07 0.412744 0.0176259 1.49e-07 1.49e-07 0.00055266
0.107 0.00214238 0.0740391 2.84e-07 0.417902 0.0241207 1.5e-07 1.29e-07 0.000552036
0.108 0.00214238 0.0740391 3.46e-07 0.420952 0.0178146 1.44e-07 1.87e-07 0.000553113
0.109 0.00214238 0.0740391 3.23e-07 0.42919 0.018167 1.51e-07 1.28e-07 0.000549914
0.11 0.00214238 0.0740391 2.54e-07 0.433088 0.0199741 1.53e-07 1.3e-07 0.000554638
0.111 0.00214238 0.0740391 3.79e-07 0.443254 0.0186535 1.48e-07 1.31e-07 0.000552021
0.112 0.00214238 0.0740391 3.07e-07 0.440373 0.018604 1.34e-07 1.31e-07 0.000553826
0.113 0.00214238 0.0740391 5.24e-07 0.442424 0.0192232 1.36e-07 1.84e-07 0.000551576
0.114 0.00214238 0.0740391 2.92e-07 0.451844 0.019184 1.36e-07 1.42e-07 0.000549891
0.115 0.00214238 0.0740391 4.16e-07 0.451343 0.0193662 1.91e-07 1.47e-07 0.000553117
0.116 0.00214238 0.0740391 2.39e-07 0.494938 0.0201671 1.48e-07 1.81e-07 0.000565041
0.117 0.00214238 0.0740391 2.93e-07 0.478662 0.0218991 1.4e-07 1.48e-07 0.000553299
0.118 0.00214238 0.0740391 2.72e-07 0.470653 0.0203028 1.42e-07 1.83e-07 0.000601242
0.119 0.00214238 0.0740391 4.06e-07 0.484649 0.0253052 1.34e-07 1.32e-07 0.000568082
0.12 0.00214238 0.0740391 4.08e-07 0.48298 0.020294 1.37e-07 1.28e-07 0.000553977
0.121 0.00214238 0.0740391 2.62e-07 0.484627 0.0255548 1.47e-07 1.31e-07 0.000567718
0.122 0.00214238 0.0740391 3.44e-07 0.481885 0.0227078 1.46e-07 1.54e-07 0.000553894
0.123 0.00214238 0.0740391 2.8e-07 0.481338 0.0225648 1.86e-07 1.42e-07 0.00055516
0.124 0.00214238 0.0740391 2.85e-07 0.479234 0.0204373 1.44e-07 1.28e-07 0.000555115
0.125 0.00214238 0.0740391 2.7e-07 0.483538 0.0228392 1.39e-07 1.3e-07 0.000554165
0.126 0.00214238 0.0740391 4.1e-07 0.498865 0.021726 1.37e-07 1.31e-07 0.000567453
0.127 0.00214238 0.0740391 3.19e-07 0.49896 0.0280104 1.35e-07 1.36e-07 0.000554845
0.128 0.00214238 0.0740391 3.09e-07 0.498856 0.0210556 1.31e-07 1.22e-07 0.000551431
0.129 0.00214238 0.0740391 2.97e-07 0.502791 0.0214107 1.34e-07 1.3e-07 0.000552594
0.13 0.00214238 0.0740391 3e-07 0.509366 0.0237094 1.48e-07 1.28e-07 0.000555408
0.131 0.00214238 0.0740391 3.34e-07 0.51622 0.0241544 1.48e-07 1.27e-07 0.000553347
0.132 0.00214238 0.0740391 2.67e-07 0.512507 0.0259436 1.56e-07 1.3e-07 0.000555837
0.133 0.00214238 0.0740391 2.62e-07 0.514486 0.0218809 1.48e-07 1.4e-07 0.000555714
0.134 0.00214238 0.0740391 3.25e-07 0.518872 0.0241407 1.46e-07 1.3e-07 0.00055243
0.135 0.00214238 0.0740391 2.68e-07 0.519937 0.0241577 1.35e-07 1.76e-07 0.000557834
0.136 0.00214238 0.0740391 3.31e-07 0.532317 0.0286188 1.51e-07 1.28e-07 0.000555946
0.137 0.00214238 0.0740391 2.82e-07 0.52339 0.0243902 1.43e-07 1.27e-07 0.000556674
0.138 0.00214238 0.0740391 2.74e-07 0.530271 0.0223941 1.32e-07 1.3e-07 0.000553614
0.139 0.00214238 0.0740391 2.8e-07 0.529349 0.0246595 1.32e-07 1.24e-07 0.000558279
0.14 0.00214238 0.0740391 3.08e-07 0.533574 0.0228407 1.4e-07 1.27e-07 0.000553233
0.141 0.00214238 0.0740391 2.68e-07 0.532255 0.0226428 1.28e-07 1.27e-07 0.000558988
