Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.1 0.000884272 0.0835427 2.87e-07 0.973312 0.890467 1.28e-07 1.29e-07 0.000909541
0.101 0.000884272 0.0835427 3.05e-07 0.969238 0.88841 1.4e-07 1.31e-07 0.00090802
0.102 0.000884272 0.0835427 4e-07 0.969436 0.887046 1.41e-07 1.28e-07 0.000907329
0.103 0.000884272 0.0835427 3.81e-07 0.972271 0.826877 1.37e-07 1.28e-07 0.000907195
0.104 0.000884272 0.0835427 1.98e-07 0.978996 0.821814 1.73e-07 1.42e-07 0.000907048
0.105 0.000884272 0.0835427 2.86e-07 0.987578 0.819916 1.38e-07 1.3e-07 0.00091059
0.106 0.000884272 0.0835427 4.99e-07 0.999882 0.81783 1.45e-07 1.3e-07 0.000906401
0.107 0.000884272 0.0835427 3.5e-07 1.00222 0.33136 1.46e-07 1.3e-07 0.00091033
0.108 0.000884272 0.0835427 3.88e-07 1.00634 0.0542428 1.34e-07 1.85e-07 0.000911873
0.109 0.000884272 0.0835427 3.39e-07 1.01848 0.0641056 1.54e-07 1.27e-07 0.000908354
0.11 0.000884272 0.0835427 3.02e-07 1.02477 0.0676449 1.33e-07 1.29e-07 0.00094985
0.111 0.000884272 0.0835427 3.23e-07 1.02521 0.0546116 1.3e-07 1.78e-07 0.000909764
0.112 0.000884272 0.0835427 2.54e-07 1.03835 0.0586919 1.38e-07 1.29e-07 0.000905884
0.113 0.000884272 0.0835427 3.31e-07 1.04165 0.0681435 1.35e-07 1.88e-07 0.000906127
0.114 0.000884272 0.0835427 4.05e-07 1.0491 0.0617675 1.46e-07 1.28e-07 0.000910318
0.115 0.000884272 0.0835427 3.43e-07 1.05321 0.0521054 1.29e-07 1.27e-07 0.000906397
0.116 0.000884272 0.0835427 3.78e-07 1.06119 0.0524572 1.47e-07 1.32e-07 0.000907135
0.117 0.000884272 0.0835427 3.14e-07 1.06808 0.0563051 1.47e-07 1.48e-07 0.000913502
0.118 0.000884272 0.0835427 4.91e-07 1.0694 0.0597509 1.29e-07 1.29e-07 0.000907326
0.119 0.000884272 0.0835427 2.13e-07 1.08848 0.0470972 1.33e-07 1.27e-07 0.000907254
0.12 0.000884272 0.0835427 3.05e-07 1.09718 0.0472317 1.3e-07 1.29e-07 0.000912444
0.121 0.000884272 0.0835427 3.09e-07 1.10139 0.0505442 1.42e-07 1.27e-07 0.000907312
0.122 0.000884272 0.0835427 3.34e-07 1.10408 0.0508907 1.38e-07 1.29e-07 0.000912188
0.123 0.000884272 0.0835427 2.96e-07 1.11452 0.0545218 1.33e-07 1.27e-07 0.000910502
0.124 0.000884272 0.0835427 3.54e-07 1.12258 0.0577959 1.42e-07 1.27e-07 0.00090879
0.125 0.000884272 0.0835427 3.74e-07 1.1204 0.051277 1.3e-07 1.29e-07 0.000910544
0.126 0.000884272 0.0835427 3.26e-07 1.13185 0.0582115 1.38e-07 1.35e-07 0.000911588
0.127 0.000884272 0.0835427 3.29e-07 1.13634 0.0650721 1.38e-07 1.27e-07 0.000912118
0.128 0.000884272 0.0835427 2.87e-07 1.14671 0.0491419 1.43e-07 1.41e-07 0.000910193
0.129 0.000884272 0.0835427 3.55e-07 1.14799 0.0554665 1.28e-07 1.37e-07 0.000915985
0.13 0.000884272 0.0835427 3.18e-07 1.15329 0.0558468 1.29e-07 1.29e-07 0.00091144
0.131 0.000884272 0.0835427 3.18e-07 1.15364 0.0494989 1.34e-07 1.39e-07 0.000915345
0.132 0.000884272 0.0835427 5.29e-07 1.15793 0.0498267 1.39e-07 1.27e-07 0.000912186
0.133 0.000884272 0.0835427 3.87e-07 1.16228 0.0499745 1.31e-07 1.29e-07 0.00091201
0.134 0.000884272 0.0835427 3.77e-07 1.16623 0.0502526 1.46e-07 1.29e-07 0.000913555
0.135 0.000884272 0.0835427 3.65e-07 1.17159 0.0503991 1.47e-07 1.37e-07 0.000916073
0.136 0.000884272 0.0835427 3.32e-07 1.18357 0.0506514 1.33e-07 1.38e-07 0.000914208
0.137 0.000884272 0.0835427 3.14e-07 1.18914 0.0509418 1.35e-07 1.38e-07 0.0009147
0.138 0.000884272 0.0835427 3.52e-07 1.19199 0.0510066 1.35e-07 1.28e-07 0.000915348
0.139 0.000884272 0.0835427 3.75e-07 1.19515 0.0580779 1.39e-07 1.85e-07 0.000919478
0.14 0.000884272 0.0835427 3.81e-07 1.2092 0.0582736 1.43e-07 1.28e-07 0.000916805
0.141 0.000884272 0.0835427 2.84e-07 1.21066 0.0651493 1.36e-07 1.3e-07 0.000916637
0.142 0.000884272 0.0835427 3.03e-07 1.21459 0.0683665 1.39e-07 1.38e-07 0.000918005
0.143 0.000884272 0.0835427 3.45e-07 1.21865 0.0522338 1.4e-07 1.29e-07 0.000917507
0.144 0.000884272 0.0835427 2.77e-07 1.22883 0.0592355 1.29e-07 1.28e-07 0.000921612
0.145 0.000884272 0.0835427 4.1e-07 1.23163 0.0626754 1.39e-07 1.29e-07 0.000917926
0.146 0.000884272 0.0835427 3.22e-07 1.24338 0.0531342 1.39e-07 1.4e-07 0.000918624
0.147 0.000884272 0.0835427 3.72e-07 1.24351 0.0530989 1.42e-07 1.28e-07 0.000921077
0.148 0.000884272 0.0835427 3.14e-07 1.25711 0.0570648 1.41e-07 1.29e-07 0.000920469
0.149 0.000884272 0.0835427 4.06e-07 1.26494 0.0575352 1.35e-07 1.28e-07 0.000925336
0.15 0.000884272 0.0835427 2.6e-07 1.27843 0.0648305 1.46e-07 1.27e-07 0.000923859
0.151 0.000884272 0.0835427 3.63e-07 1.2867 0.0617119 1.45e-07 1.27e-07 0.000928357
0.152 0.000884272 0.0835427 2.9e-07 1.29454 0.0556388 1.39e-07 1.3e-07 0.000923522
0.153 0.000884272 0.0835427 3.32e-07 1.29537 0.055807 1.3e-07 1.31e-07 0.000923067
0.154 0.000884272 0.0835427 3.19e-07 1.30143 0.0560173 1.32e-07 1.27e-07 0.000924951
0.155 0.000884272 0.0835427 2.81e-07 1.303 0.0594729 1.35e-07 1.29e-07 0.00092289
0.156 0.000884272 0.0835427 3.28e-07 1.3158 0.0601298 1.52e-07 1.29e-07 0.000929084
0.157 0.000884272 0.0835427 3.23e-07 1.31865 0.0645051 1.39e-07 1.3e-07 0.00092673
0.158 0.000884272 0.0835427 3.6e-07 1.33042 0.0669975 1.38e-07 1.27e-07 0.000925953
0.159 0.000884272 0.0835427 3.4e-07 1.33035 0.070476 1.35e-07 1.27e-07 0.000927413
0.16 0.000884272 0.0835427 4.65e-07 1.33609 0.0705586 1.29e-07 1.29e-07 0.000927719
0.161 0.000884272 0.0835427 3.66e-07 1.34041 0.0577299 1.33e-07 1.75e-07 0.000935439
0.162 0.000884272 0.0835427 3.24e-07 1.34594 0.0679827 1.35e-07 1.29e-07 0.000928639
0.163 0.000884272 0.0835427 3.33e-07 1.34983 0.0648166 1.4e-07 1.36e-07 0.000970427
0.164 0.000884272 0.0835427 2.94e-07 1.36297 0.0590562 1.36e-07 1.79e-07 0.000939151
0.165 0.000884272 0.0835427 3.02e-07 1.36295 0.0590642 1.43e-07 1.27e-07 0.000931173
0.166 0.000884272 0.0835427 3.53e-07 1.36621 0.0623001 1.38e-07 1.29e-07 0.000933282
0.167 0.000884272 0.0835427 2.46e-07 1.36957 0.0591468 1.29e-07 1.28e-07 0.000933683
0.168 0.000884272 0.0835427 3.07e-07 1.37695 0.0628762 1.4e-07 1.29e-07 0.00093465
0.169 0.000884272 0.0835427 3.02e-07 1.37748 0.0661426 1.51e-07 1.29e-07 0.000935038
0.17 0.000884272 0.0835427 2.38e-07 1.39127 0.0701079 1.42e-07 1.3e-07 0.000937264
0.171 0.000884272 0.0835427 3.29e-07 1.39585 0.0670854 1.35e-07 1.39e-07 0.000937877
0.172 0.000884272 0.0835427 3.34e-07 1.40433 0.0672591 1.37e-07 1.28e-07 0.000939978
0.173 0.000884272 0.0835427 3.45e-07 1.40819 0.0677028 1.34e-07 1.29e-07 0.000947507
0.174 0.000884272 0.0835427 3.32e-07 1.41858 0.0615549 1.36e-07 1.26e-07 0.000951924
0.175 0.000884272 0.0835427 5.54e-07 1.42285 0.0616491 1.36e-07 1.3e-07 0.000943594
0.176 0.000884272 0.0835427 3.74e-07 1.42858 0.0685623 1.47e-07 1.26e-07 0.000945393
0.177 0.000884272 0.0835427 2.97e-07 1.42828 0.0654855 1.37e-07 1.27e-07 0.000958202
0.178 0.000884272 0.0835427 3.24e-07 1.43347 0.0654291 1.46e-07 1.28e-07 0.000952223
0.179 0.000884272 0.0835427 5.32e-07 1.43486 0.0655456 1.38e-07 1.46e-07 0.00095786
0.18 0.000884272 0.0835427 3.37e-07 1.44673 0.0661787 1.49e-07 1.27e-07 0.000948703
0.181 0.000884272 0.0835427 3.38e-07 1.44832 0.0626621 1.39e-07 1.31e-07 0.000952268
0.182 0.000884272 0.0835427 3.3e-07 1.45143 0.0661054 1.33e-07 1.31e-07 0.000951472
0.183 0.000884272 0.0835427 3e-07 1.45385 0.0628725 1.3e-07 1.28e-07 0.000956749
0.184 0.000884272 0.0835427 2.98e-07 1.46845 0.0628382 1.31e-07 1.28e-07 0.000957268
0.185 0.000884272 0.0835427 3.11e-07 1.46211 0.0632877 1.41e-07 1.28e-07 0.000957343
0.186 0.000884272 0.0835427 5.34e-07 1.47251 0.0633628 1.51e-07 1.3e-07 0.000962658
0.187 0.000884272 0.0835427 2.5e-07 1.47533 0.0733906 1.51e-07 1.33e-07 0.000959977
0.188 0.000884272 0.0835427 3.05e-07 1.48033 0.0638428 1.37e-07 1.27e-07 0.000965928
0.189 0.000884272 0.0835427 3.15e-07 1.48111 0.0637237 1.39e-07 1.28e-07 0.000965772
0.19 0.000884272 0.0835427 3.32e-07 1.48842 0.0640332 1.34e-07 1.29e-07 0.000965727
0.191 0.000884272 0.0835427 4.11e-07 1.48811 0.0737372 1.34e-07 1.3e-07 0.00096769
0.192 0.000884272 0.0835427 3.85e-07 1.50245 0.067602 1.38e-07 1.29e-07 0.000965984
0.193 0.000884272 0.0835427 3.46e-07 1.50247 0.0707993 1.48e-07 1.29e-07 0.000967653
0.194 0.000884272 0.0835427 3.07e-07 1.5155 0.0681582 1.47e-07 1.27e-07 0.000968484
0.195 0.000884272 0.0835427 6.78e-07 1.52134 0.0680936 1.37e-07 1.28e-07 0.000971248
0.196 0.000884272 0.0835427 3.47e-07 1.5264 0.0685761 1.42e-07 1.25e-07 0.000976554
0.197 0.000884272 0.0835427 3.91e-07 1.52991 0.0718568 1.33e-07 1.28e-07 0.000973456
0.198 0.000884272 0.0835427 2.75e-07 1.54649 0.0691977 1.43e-07 1.31e-07 0.000977453
0.199 0.000884272 0.0835427 3.12e-07 1.54838 0.0725019 1.31e-07 1.3e-07 0.000973353
0.2 0.000884272 0.0835427 3.03e-07 1.54879 0.0660945 1.3e-07 1.75e-07 0.000982019
0.201 0.000884272 0.0835427 3.17e-07 1.54941 0.0660818 1.3e-07 1.3e-07 0.000976152
0.202 0.000884272 0.0835427 2.69e-07 1.55292 0.0662895 1.31e-07 1.29e-07 0.000977174
0.203 0.000884272 0.0835427 3.14e-07 1.55524 0.0665092 1.35e-07 1.28e-07 0.000979511
0.204 0.000884272 0.0835427 3.86e-07 1.55812 0.0665044 1.4e-07 1.28e-07 0.000983554
0.205 0.000884272 0.0835427 3.09e-07 1.56092 0.0697898 1.39e-07 1.28e-07 0.000979589
0.206 0.000884272 0.0835427 3.36e-07 1.57246 0.0670138 1.39e-07 1.28e-07 0.000979742
0.207 0.000884272 0.0835427 2.6e-07 1.57731 0.070767 1.95e-07 1.33e-07 0.000994394
0.208 0.000884272 0.0835427 2.82e-07 1.58356 0.0719663 1.84e-07 1.43e-07 0.0010021
0.209 0.000884272 0.0835427 3.1e-07 1.57964 0.0705902 1.98e-07 1.34e-07 0.000979833
0.21 0.000884272 0.0835427 3.13e-07 1.58952 0.0674752 1.53e-07 1.28e-07 0.000980438
0.211 0.000884272 0.0835427 3.3e-07 1.59311 0.074051 1.42e-07 1.28e-07 0.000982876
0.212 0.000884272 0.0835427 2.84e-07 1.59758 0.0808067 1.39e-07 1.29e-07 0.000985375
0.213 0.000884272 0.0835427 3.44e-07 1.5977 0.0676798 1.29e-07 1.29e-07 0.000982133
0.214 0.000884272 0.0835427 2.85e-07 1.60396 0.0809229 1.38e-07 1.3e-07 0.000988223
0.215 0.000884272 0.0835427 3.69e-07 1.60457 0.0744986 1.5e-07 1.3e-07 0.00102903
0.216 0.000884272 0.0835427 3.3e-07 1.60679 0.0777666 1.35e-07 1.3e-07 0.000987449
0.217 0.000884272 0.0835427 2.91e-07 1.60785 0.0680412 1.29e-07 1.27e-07 0.000981197
0.218 0.000884272 0.0835427 2.7e-07 1.61124 0.0680542 1.37e-07 1.3e-07 0.000983975
0.219 0.000884272 0.0835427 3.59e-07 1.61517 0.068153 1.34e-07 1.36e-07 0.000992459
0.22 0.000884272 0.0835427 3.42e-07 1.61521 0.0681542 1.43e-07 1.29e-07 0.000988367
0.221 0.000884272 0.0835427 4.15e-07 1.6159 0.0846781 1.56e-07 1.27e-07 0.000996034
0.222 0.000884272 0.0835427 3.26e-07 1.62126 0.0683889 1.49e-07 1.28e-07 0.000984569
0.223 0.000884272 0.0835427 3.04e-07 1.6296 0.0685792 1.45e-07 1.29e-07 0.000987298
0.224 0.000884272 0.0835427 3.24e-07 1.65832 0.0698789 1.32e-07 1.29e-07 0.000988637
0.225 0.000884272 0.0835427 5e-07 1.66692 0.0801895 1.29e-07 1.27e-07 0.000987478
0.226 0.000884272 0.0835427 3.46e-07 1.67741 0.0835959 1.3e-07 1.28e-07 0.000989313
0.227 0.000884272 0.0835427 3.06e-07 1.67298 0.0703621 1.35e-07 1.3e-07 0.000986128
0.228 0.000884272 0.0835427 4.07e-07 1.68086 0.0705214 1.47e-07 1.35e-07 0.00098908
0.229 0.000884272 0.0835427 2.71e-07 1.68092 0.0737493 1.31e-07 1.28e-07 0.000986984
0.23 0.000884272 0.0835427 3.49e-07 1.68455 0.0805647 1.31e-07 1.3e-07 0.000987704
0.231 0.000884272 0.0835427 2.88e-07 1.68833 0.0870749 1.5e-07 1.3e-07 0.000987483
0.232 0.000884272 0.0835427 3.06e-07 1.68968 0.0740847 1.37e-07 1.82e-07 0.000988824
0.233 0.000884272 0.0835427 3.64e-07 1.69149 0.074029 1.47e-07 1.29e-07 0.000987072
0.234 0.000884272 0.0835427 2.99e-07 1.69669 0.0776038 1.33e-07 1.32e-07 0.000989502
0.235 0.000884272 0.0835427 2.88e-07 1.71142 0.0814995 1.29e-07 1.27e-07 0.000994087
0.236 0.000884272 0.0835427 2.9e-07 1.72737 0.085076 1.39e-07 1.29e-07 0.000988985
0.237 0.000884272 0.0835427 3.85e-07 1.7272 0.0785654 1.36e-07 1.27e-07 0.000991087
0.238 0.000884272 0.0835427 3.33e-07 1.74131 0.0789637 1.3e-07 1.27e-07 0.00100032
0.239 0.000884272 0.0835427 3.29e-07 1.74228 0.0756031 1.32e-07 1.29e-07 0.000993155
0.24 0.000884272 0.0835427 2.98e-07 1.74609 0.0758809 1.3e-07 1.31e-07 0.000991264
0.241 0.000884272 0.0835427 3.53e-07 1.75146 0.0791593 1.36e-07 1.27e-07 0.000992351
0.242 0.000884272 0.0835427 2.82e-07 1.75129 0.0791994 1.85e-07 1.31e-07 0.000992017
0.243 0.000884272 0.0835427 3.18e-07 1.75138 0.0827443 1.32e-07 1.47e-07 0.00099329
0.244 0.000884272 0.0835427 3.19e-07 1.75643 0.0727909 1.39e-07 1.28e-07 0.000994237
0.245 0.000884272 0.0835427 2.86e-07 1.75893 0.0728163 1.31e-07 1.28e-07 0.000994393
0.246 0.000884272 0.0835427 2.9e-07 1.76018 0.07616 1.32e-07 1.29e-07 0.000993207
0.247 0.000884272 0.0835427 2.06e-07 1.77146 0.0733822 1.41e-07 1.27e-07 0.000994876
0.248 0.000884272 0.0835427 3.46e-07 1.77559 0.0766515 1.38e-07 1.29e-07 0.000993578
0.249 0.000884272 0.0835427 4.19e-07 1.7791 0.0734866 1.31e-07 1.27e-07 0.000992943
0.25 0.000884272 0.0835427 2.71e-07 1.78553 0.0803192 1.47e-07 1.31e-07 0.000994087
0.251 0.000884272 0.0835427 4.42e-07 1.78639 0.073766 1.31e-07 1.29e-07 0.000994857
0.252 0.000884272 0.0835427 3.06e-07 1.80233 0.0776259 1.41e-07 1.29e-07 0.000993771
0.253 0.000884272 0.0835427 3.14e-07 1.8078 0.074624 1.3e-07 1.28e-07 0.000995836
0.254 0.000884272 0.0835427 3.32e-07 1.8106 0.0745477 1.32e-07 1.27e-07 0.00099975
0.255 0.000884272 0.0835427 3.64e-07 1.81129 0.0746355 1.51e-07 1.28e-07 0.000997162
0.256 0.000884272 0.0835427 2.57e-07 1.81458 0.0745652 1.29e-07 1.38e-07 0.000995342
0.257 0.000884272 0.0835427 2.9e-07 1.81326 0.0745506 1.3e-07 1.29e-07 0.00100146
0.258 0.000884272 0.0835427 4.01e-07 1.82899 0.0750588 1.3e-07 1.27e-07 0.001001
0.259 0.000884272 0.0835427 2.95e-07 1.83338 0.0753009 1.37e-07 1.27e-07 0.000995997
0.26 0.000884272 0.0835427 2.76e-07 1.84005 0.0788235 1.28e-07 1.3e-07 0.00102065
0.261 0.000884272 0.0835427 4.89e-07 1.85137 0.0794095 1.29e-07 1.27e-07 0.00100245
0.262 0.000884272 0.0835427 2.98e-07 1.86024 0.0828729 1.3e-07 1.77e-07 0.00101094
0.263 0.000884272 0.0835427 3.43e-07 1.85523 0.0795031 1.3e-07 1.28e-07 0.0010058
0.264 0.000884272 0.0835427 2.88e-07 1.85838 0.0796085 1.39e-07 1.38e-07 0.00099599
0.265 0.000884272 0.0835427 2.94e-07 1.86057 0.0830044 1.41e-07 1.29e-07 0.000998596
0.266 0.000884272 0.0835427 3.41e-07 1.85974 0.0830831 1.39e-07 1.29e-07 0.000997734
0.267 0.000884272 0.0835427 4.07e-07 1.86957 0.0801653 1.43e-07 1.28e-07 0.000999126
0.268 0.000884272 0.0835427 3.64e-07 1.88605 0.0769284 1.44e-07 1.46e-07 0.000995377
0.269 0.000884272 0.0835427 2.86e-07 1.87214 0.0799598 1.29e-07 1.3e-07 0.000996376
0.27 0.000884272 0.0835427 2.98e-07 1.87294 0.0804966 1.36e-07 1.35e-07 0.000997246
0.271 0.000884272 0.0835427 3.07e-07 1.87308 0.0773018 1.38e-07 1.85e-07 0.001002
0.272 0.000884272 0.0835427 2.97e-07 1.88755 0.0843028 1.46e-07 1.85e-07 0.000999553
0.273 0.000884272 0.0835427 3.85e-07 1.89605 0.0777936 1.3e-07 1.46e-07 0.00100179
0.274 0.000884272 0.0835427 2.61e-07 1.9107 0.0795809 1.38e-07 1.31e-07 0.00102264
0.275 0.000884272 0.0835427 3.47e-07 1.90267 0.0779047 1.33e-07 1.3e-07 0.000999318
0.276 0.000884272 0.0835427 3.15e-07 1.90397 0.0788691 1.52e-07 1.48e-07 0.000997557
0.277 0.000884272 0.0835427 3.04e-07 1.90613 0.0789 1.39e-07 1.82e-07 0.00100119
0.278 0.000884272 0.0835427 3.15e-07 1.90905 0.0819476 1.35e-07 1.78e-07 0.000999316
0.279 0.000884272 0.0835427 3.38e-07 1.91615 0.0815916 1.31e-07 1.38e-07 0.000998806
0.28 0.000884272 0.0835427 2.78e-07 1.9196 0.0854428 1.29e-07 1.23e-07 0.00100041
0.281 0.000884272 0.0835427 2.91e-07 1.92707 0.0856639 1.42e-07 1.29e-07 0.000999945
0.282 0.000884272 0.0835427 6.77e-07 1.93809 0.0791019 1.36e-07 1.24e-07 0.00100238
0.283 0.000884272 0.0835427 4.49e-07 1.94329 0.0791505 1.42e-07 1.27e-07 0.000999156
0.284 0.000884272 0.0835427 3.52e-07 1.95232 0.086057 1.32e-07 1.25e-07 0.000999472
0.285 0.000884272 0.0835427 2.59e-07 1.95659 0.0795333 1.4e-07 1.28e-07 0.00100066
0.286 0.000884272 0.0835427 3.82e-07 1.96221 0.0862147 1.44e-07 1.24e-07 0.0010008
0.287 0.000884272 0.0835427 3.71e-07 1.95973 0.0860838 1.82e-07 1.25e-07 0.00100022
0.288 0.000884272 0.0835427 3.96e-07 1.95791 0.0795379 1.42e-07 1.31e-07 0.00100511
0.289 0.000884272 0.0835427 3.09e-07 1.96563 0.0795857 1.89e-07 1.24e-07 0.000999582
0.29 0.000884272 0.0835427 2.8e-07 1.96911 0.079612 1.37e-07 1.26e-07 0.000999347
0.291 0.000884272 0.0835427 2.76e-07 1.96876 0.079611 1.39e-07 1.24e-07 0.00100127
0.292 0.000884272 0.0835427 3.19e-07 1.99059 0.0839683 1.3e-07 1.28e-07 0.0010017
0.293 0.000884272 0.0835427 2.95e-07 1.99773 0.0839982 1.29e-07 1.8e-07 0.00104866
0.294 0.000884272 0.0835427 3.36e-07 2.00258 0.0805346 1.3e-07 1.29e-07 0.00100076
0.295 0.000884272 0.0835427 3.22e-07 1.99917 0.080746 1.38e-07 1.31e-07 0.00100051
0.296 0.000884272 0.0835427 3.21e-07 1.99973 0.0838398 1.31e-07 1.74e-07 0.00100238
0.297 0.000884272 0.0835427 2.87e-07 2.00348 0.0805313 1.43e-07 1.29e-07 0.00100198
0.298 0.000884272 0.0835427 3.22e-07 2.00232 0.0823255 1.49e-07 1.28e-07 0.00100186
0.299 0.000884272 0.0835427 3.1e-07 2.00906 0.0810415 1.43e-07 1.46e-07 0.00100245
0.3 0.000884272 0.0835427 2.85e-07 2.03416 0.0818135 1.37e-07 1.3e-07 0.00100321
0.301 0.000884272 0.0835427 3.4e-07 2.03452 0.0817246 1.33e-07 1.29e-07 0.00100164
0.302 0.000884272 0.0835427 2.88e-07 2.03541 0.081808 1.4e-07 1.31e-07 0.00100041
0.303 0.000884272 0.0835427 3.05e-07 2.04405 0.0822515 1.41e-07 1.29e-07 0.00100593
0.304 0.000884272 0.0835427 3.13e-07 2.04467 0.0824341 1.3e-07 1.29e-07 0.00100778
0.305 0.000884272 0.0835427 3.26e-07 2.05046 0.085636 1.42e-07 1.27e-07 0.00100677
0.306 0.000884272 0.0835427 3.07e-07 2.05925 0.0830084 1.27e-07 1.45e-07 0.00100263
0.307 0.000884272 0.0835427 3.84e-07 2.06067 0.0826245 1.3e-07 1.28e-07 0.00100594
0.308 0.000884272 0.0835427 4.71e-07 2.06689 0.0859921 1.32e-07 1.29e-07 0.00100164
0.309 0.000884272 0.0835427 3.06e-07 2.0847 0.083262 1.53e-07 1.34e-07 0.00104466
0.31 0.000884272 0.0835427 2.98e-07 2.07925 0.0826929 1.46e-07 1.29e-07 0.00100247
0.311 0.000884272 0.0835427 3.56e-07 2.08394 0.082961 1.5e-07 1.3e-07 0.000999869
0.312 0.000884272 0.0835427 3.42e-07 2.08167 0.083936 1.49e-07 1.29e-07 0.00100448
0.313 0.000884272 0.0835427 4.08e-07 2.08203 0.0832544 1.55e-07 1.26e-07 0.00100681
0.314 0.000884272 0.0835427 3.53e-07 2.08152 0.083044 1.36e-07 1.35e-07 0.00100663
0.315 0.000884272 0.0835427 3.17e-07 2.08919 0.0834378 1.34e-07 1.4e-07 0.00100326
0.316 0.000884272 0.0835427 2.68e-07 2.09563 0.089795 1.95e-07 1.36e-07 0.00100766
0.317 0.000884272 0.0835427 3.01e-07 2.09956 0.0836625 1.37e-07 1.76e-07 0.00101211
0.318 0.000884272 0.0835427 2.98e-07 2.11245 0.0872136 1.42e-07 1.29e-07 0.00100408
0.319 0.000884272 0.0835427 4.08e-07 2.13294 0.0912599 1.45e-07 1.28e-07 0.00100619
0.32 0.000884272 0.0835427 3.17e-07 2.13698 0.0847067 1.44e-07 1.28e-07 0.00100396
0.321 0.000884272 0.0835427 3.02e-07 2.13703 0.0847396 1.52e-07 1.4e-07 0.00100992
0.322 0.000884272 0.0835427 3.12e-07 2.14234 0.086018 1.33e-07 1.32e-07 0.00102709
0.323 0.000884272 0.0835427 3.59e-07 2.15154 0.0882211 1.36e-07 1.27e-07 0.00100679
0.324 0.000884272 0.0835427 3.07e-07 2.1486 0.088672 1.27e-07 1.28e-07 0.00100448
0.325 0.000884272 0.0835427 4.11e-07 2.14934 0.0915807 1.32e-07 1.31e-07 0.00100468
0.326 0.000884272 0.0835427 3.04e-07 2.17416 0.0861626 1.35e-07 1.29e-07 0.00101363
